CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
일본,Hokkaido,Hidaka-cho,7218,6382,13615,11279,-17.16%
일본,Hokkaido,Biratori-cho,3141,2819,5596,4776,-14.65%
일본,Hokkaido,Niikappu-cho,3046,3022,5775,5309,-8.07%
일본,Hokkaido,Urakawa-cho,7652,6640,14389,12074,-16.09%
일본,Hokkaido,Samani-cho,2715,2252,5114,4043,-20.94%
일본,Hokkaido,Erimo-cho,3304,2661,5413,4374,-19.19%
일본,Hokkaido,Shinhidaka-cho,13125,11105,25419,21517,-15.35%
일본,Hokkaido,Otofuke-cho,22364,21634,45085,43576,-3.35%
일본,Hokkaido,Shihoro-cho,3494,3275,6416,5848,-8.85%
일본,Hokkaido,Kamishihoro-cho,2695,2594,5080,4778,-5.94%
일본,Hokkaido,Shikaoi-cho,3190,2885,5702,5266,-7.65%
일본,Hokkaido,Shintoku-cho,3403,3142,6653,5817,-12.57%
일본,Hokkaido,Shimizu-cho,5200,4738,9961,9094,-8.70%
일본,Hokkaido,Memuro-cho,9919,9661,18905,18048,-4.53%
일본,Hokkaido,Nakasatsunai-mura,2201,2167,4006,3884,-3.05%
일본,Hokkaido,Sarabetsu-mura,1992,1860,3391,3080,-9.17%
일본,Hokkaido,Taiki-cho,3297,3101,5977,5420,-9.32%
일본,Hokkaido,Hiroo-cho,4174,3406,7881,6387,-18.96%
일본,Hokkaido,Makubetsu-cho,13755,13510,26547,25766,-2.94%
일본,Hokkaido,Ikeda-cho,3754,3212,7527,6294,-16.38%
일본,Hokkaido,Toyokoro-cho,1877,1671,3394,3022,-10.96%
일본,Hokkaido,Hombetsu-cho,4265,3571,8275,6618,-20.02%
일본,Hokkaido,Ashoro-cho,3963,3442,7630,6563,-13.98%
일본,Hokkaido,Rikubetsu-cho,1299,1235,2650,2264,-14.57%
일본,Hokkaido,Urahoro-cho,2894,2420,5460,4387,-19.65%
일본,Hokkaido,Kushiro-cho,11095,9463,20526,19105,-6.92%
일본,Hokkaido,Akkeshi-cho,6051,5285,10630,8892,-16.35%
일본,Hokkaido,Hamanaka-cho,4137,3654,6511,5507,-15.42%
일본,Hokkaido,Shibecha-cho,4310,3875,8285,7230,-12.73%
일본,Hokkaido,Teshikaga-cho,4293,3540,8278,6955,-15.98%
일본,Hokkaido,Tsurui-mura,1242,1274,2627,2558,-2.63%
일본,Hokkaido,Shiranuka-cho,4692,3778,9294,7289,-21.57%
일본,Hokkaido,Betsukai-cho,8812,8208,15855,14380,-9.30%
일본,Hokkaido,Nakashibetsu-cho,13163,12978,23982,23010,-4.05%
일본,Hokkaido,Shibetsu-cho,3173,2890,5646,5023,-11.03%
일본,Hokkaido,Rausu-cho,3485,2875,5885,4722,-19.76%
일본,Aomori-ken,Aomori-shi,147957,134053,299520,275192,-8.12%
일본,Aomori-ken,Hirosaki-shi,93775,86270,183473,168466,-8.18%
일본,Aomori-ken,Hachinohe-shi,118838,111242,237615,223415,-5.98%
